Tweet,Target 1,Stance 1,seen?
"Absolutely it's needs to be defined and regulated in its use, as currently the word 'natural' when used on food products is totally confusing and meaningless. Clearly they are trying to imply the item is 'healthy' or possibly 'organic', but when you see food 'manufacturers' like Frito-Lay or Campbell's with products labelled 'natural', that alone should set off alarms that all is not what it seems. ;-)",food label,AGAINST,1
"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",big bank,AGAINST,1
"Violence is inherent in the sex industry only in the same way that criminality is inherent in business in Russia. All private business in Russia was illegal under communism, so when communism fell, the first and strongest entrants were people from criminal backgrounds who had already been engaging in it illegally. They have not yet lost control; not enough time has passed. Similarly, because prostitution has been illegal in many places, even where it has become legal, there is a tendency for it to initially be dominated by the sometimes violent pimps who prevailed when it was illegal. As time passes, in large areas where it is fully legal, it will become less dominated by the criminal element and less violent (although it will never cease to be unpleasant in other ways).",prostitution,FAVOR,1
"Two of the main reasons people switch to cannabis from pharmaceuticals and other drugs such as alcohol: less side-effects and less withdrawal: ""Over 41% state that they use cannabis as a substitute for alcohol, 36.1% use cannabis as a substitute for illicit substances, and 67.8% use cannabis as a substitute for prescription drugs. The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management' suggesting that many patients may have already identified cannabis as an effective and potentially safer adjunct or alternative to their prescription drug regimen."" [Lucas et al. Cannabis as a substitute for alcohol and other drugs: A dispensary-based survey of substitution effect in Canadian medical cannabis patients. Addiction Research & Theory. 2013]",marijuana,FAVOR,1
"I have two serious issues with plug-in cars, local and national. Locally, NH has the highest electric rates in the country (thanks, Seabrook). Nationally, plugging in is a huge waste of energy. To get a gallon of gas worth of electricity out of a wall socket, we need to put at least three gallons into the generator. Every time energy changes state, there is a loss: fuel to heat, heat to steam, steam to mechanical energy, mechanical to electrical, and in the car, electrical to battery, battery to mechanical, mechanical to tires, tires to motion. Add that to transmission losses, and you end up with a lot of waste instead of savings. Plug-in cars will add to the problem, not solve it.",electric car,AGAINST,1
"Ms Ramos don't adult women have the right to decide what they do or do not want to do ? Isn't it equally coercive to restrict their freedom ? I also question the realism of your argument. AFAIK, prostitution seems to be a major sector of every known human society, in societys with strict penaltys (even death) and in societys where it is legal Isn't crimminlization like prohibition - something doomed to failure, as banning prostitution is like banning alcohol, or other drugs, perhaps desirable, but doomed to fail because it goes against human nature ? I think you are also confusing social class with prostitution; much prostituion is unpleasant because it is around poverty, just as coal mining is unpleasant.",prostitution,FAVOR,1
"The mandate of private corporations is to make a profit. And if the profit is made at the EXPENSE of the society that allow the corporation to exist, well, too bad. Oil companies foul the environment. Financial companies drive the economy into the Great Recession. Airlines have no regard for the people they transport. As long as they make a profit, they are allowed to abuse the public until they are stopped. That is the way it has been since Swift and Armour canned and sold rotten meat and Carnegie sent Pinkertons to shoot striking miners.",company,AGAINST,1
"DR Ballantyne- Sydenhams views no longer apply to modern medicine- we have treatments now- like platelet rich plasma, LENS neurofeedback, stem cell therapy, German new medicine, neural prolotherapy, oxidized ATP, MitoQ, ESWT, acupotomy- that you and your colleagues need to learn to help people in pain. No doubt the overuse of opioids has stemmed from the moral laziness of doctors when it came to offer the right care for people in pain. Doctors and medicine is still remiss in developing and deploying good treatment for pain. And training based on the little that pain specialists know and do will be of too little help to people in pain. Its time for Ballantyne to call for raising standards of care for all involved in pain care. And lets not maketoo much out of past treatments for the prevalence of pain is on the rise.",opioid training,FAVOR,1
"At 70 I can smoke pot using a vaporizer for joint pain, and feel good or not. There is no tolerance. There is no withdrawal. There is no chance of lethal seizures on cold turkey cessation of use. MJ is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high, but again no one has ever bled out from MJ. Why would a reasonable person even make the comparison between MJ and opiates, when there is no equivalency? Alcohol is the most addictive and lethal intoxicant of all narcotics or benzos or even crack. When a football player is suspended for MJ detected in his body, I know I'm in a world full of crazy people. There is no rime or reason!",gateway drug,FAVOR,1
"Without government to ensure their behavior, companies will attempt to make a profit even to the DETRIMENT of the society that supports the business. We have seen this in the environment, in finances, in their treatment of workers and customers. Enough.",company,AGAINST,1
"Should parents be given a shopping list or a line item veto for everything their tax dollars are involved in? Seriously? Procedures & materials for road repair? Medical practices in surgery? Proper chemicals used to treat the town water? We could all have opinions on these but are they professional or informed? Parents do not have a six-year degree and teaching license to qualify for text/curriculum/lesson plan design - just as they have no geology degree for road projects, or med degree for surgical procedures, or chemical engineering degree for civic operations. If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with vs. these private fears being foisted on the general public who want modern medecine, scholarly education, and sound civic operations to be able to do their best for us. This attitude of ""Some of my tax money is involved so I wish to inject my own set of facts and opinions with a red face and a loud voice like I've seen on Fox News"" is getting out of hand.",kid,FAVOR,1
"The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general. There was a time when the Church was against translating the Bible. (you can't have access to that, you're too much of an idiot!) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions. Excellent!",medical website,FAVOR,1
"Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge. I live on the Boise River in an area that has kept access open to the public. Just downstream, a fence cuts off access to the river thanks to a handful of homeowners have turned the banks of the river into their private back yard. This would be impossible without the publicly funded Corp of Engineers and other public agencies that control river levels through dams and regulations. Last time the river became a bit unruly, the national guard was called out to move earth and place sandbags to protect these areas. If you receive or need public help, then you need to provide public access.",land,AGAINST,1
"In spite of Republican whining, everybody needs Government. Somebody has got to pay, and it has to be the people who benefit from society, because there are no other sources. Bank interest is double taxed, and capital gains are and should be taxed. Contrary to the arguments that I see here, passive income is the most lethal of all to our social structure because it compounds wealth into the hands of a few lucky winners (sometimes just lucky enough to cheat), and deprives society, as a whole, of any chance to maintain a fair playing field for future generations. Capitalism is an amazing, but flawed human invention. Every once in a while capitalism and capitalists go awry. We are living in one of those times. We just need to fix that, and everything will be fine...........including the deficit.",capital gain,AGAINST,1
"Quite simply, the Palestinian authority needs to recognize Israel's right to exist as a Jewish state, and Hamas (if they're a participant) needs to disavow its commitment to the destruction of Israel and the Jews. Until that happens, it's hard to see how any rational, objective person could support Palestinian statehood.",palestinian state,AGAINST,1
"Only Karina Gallardo mentioned automation. The importation of farm laborers will increase our population and only temporarily provide farm laborers. Hopefully, the children of the farm laborers will be educated and find better jobs. The use of imported farm laborers should only be considered a temporary solution. An alternative needs to be sought. This means that a significant amount of money must be allocated to the development of robots to do the picking. Robots have significant advantages over human including their willingness to do unpleasant jobs. They also may have better ability to detect the ripeness and quality of crops plants. Robots have the advantage of being able to sense light outside of the visible range and to be equipped with ultrasonic and other sensors. One potential benefit of a decrease in defense spending is that some very qualified members of the defense industry could be motivated to work on farm automation. Some medical imaging companies probably have relevant technology.",farm,FAVOR,1
"Mike Tyson ate meat when he was the most feared boxer in the world. He only became a vegan long after his boxing days are over, so he hardly counts as an elite vegan athlete. Similarly, Lance Armstrong didn't win all those Tour victories as a vegan. I'd be interested to know when the other athletes Rip mentioned became vegans. I'd bet it was long after they had become champions. In any case, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones. So despite these examples, it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his/her nutritionally deficient vegan diet, and NOT because of it. You can go up a hill by walking on your hands. Doesn't mean it's the best or most efficient way to do it, or even that this is a possibility for most people.",veganism,AGAINST,1
"Also, and usually not acknowledged, is that we are slowly eroding the fertility of the soil. There is no more usable soil, we are farming everything that can be farmed. Current methods depend on petrochemical fertilizers. Even with their use, fertility is slowly declining. As human population continues to grow, the result is obvious.",legitimate threat,FAVOR,1
"Both countries have Interests Sections in Washington and Havana. There is no reason whatsoever that programs cannot be initiated right now even with the embargo in place. But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent. Recognize mutual interests. For example, both countries have an interest in studying hurricanes, coral reefs and generally looking at climate change; a particular threat to south Florida and Cuba. These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country.",u.s,FAVOR,1
"""In a culture that seems to be getting dumber and dumber...."" ""Seems""? I don't recall people twenty years ago saying that the cure for unwanted pregnancy was to ban contraception. Or one of our two poltical parties which represents nearly half the population postulating that the cure for our financial crisis is less regulation, etc. The list of stupid and crazy things that litter our current landscape are just too great to even begin to enumerate. Yes, I know people today cannot be openly racist, war-mongerers, etc. Do you really believe that our ""smart bombs"" and ""smart phones"" make us smarter? It's true that thanks to some very smart individuals we have progressed scientifically but let's not confuse this with human progress. In spite of your counter-intuitive optimism we are just as likely to destroy the planet and ourselves ""by accident"" today as we were twenty or fifty years ago. I seriously doubt that even the average person's knowledge of basic geography is better today than that of my grandparents.",people,AGAINST,1
"If we calculate how much money went to the war in Iraq and Afghanistan, I think that this project is pocket change. While Europe and Asia built their infrastructure the US invested in arms and wars. While other enjoy the benefits of fast and clean transportation, we are still debating if we should go forward or stay in the stone age for a little bit longer. Oh the irony...",high speed rail,FAVOR,1
"I couldn't agree more. The decision of well-meaning but ignorant people to deprive their children of vaccinations endangers not just the children, but the children of others, and vulnerable adults. Our right to choose ends when those choices result in harm to others.",mandatory child,FAVOR,1
"I can't help but wonder how many of these problems might have been fixed if the Republicans in Congress had made a legitimate effort to help fix them, rather than devoting all of their efforts to throwing up roadblocks and trying to defund it. It's really hard to build something when you have to deal with someone else trying to tear it down at the same time.",obamacare,FAVOR,1
"This type of over-control can be harmful to a child. As a speech/language pathologist, I have seen children with stutters suffer anxiety and as a result worsen their speech due to demands placed on them by perfectionist parents. Also, children who cannot possibly measure up to the standard (such as children with autism, Down syndrome, etc.) can be ignored or treated with mental cruelty, causing them further problems.",extreme parenting,AGAINST,1
"""Unlike in the United Arab Emirates, in America we believe parents are capable of making their own decisions about their children's health. We believe in freedom of choice. This freedom of choice extends to when - and even whether- parents vaccinate their kids."" Oh really? I seem to remember reading about several recent outbreaks of formerly all but eradicated viruses putting the health and lives of many at risk because of the so called ""capable"" choices. And this recent choice is rather new. When I was a child back in the 70sI had to get a back-up MMR shot or be denied access to school. What has changed is organized and ill-informed parents pushing back politically to gain exemptions from sound public policy that has protected the American public for generations. Individual choice should not dominate here. We need herd immunity to ensure our society is protected from serious and even fatal diseases. Parents need to be better educated but I don't think we need to continue to allow ever larger groups of children to go without vaccinations - not only for the broader American public but also those children themselves.",vaccination,FAVOR,1
"California's in-state/out-of-state tuition policies are a boon for Utah. Some of the smartest students I've met at Utah State University found that out-of-state tuition at USU is tens of thousands of dollars less than in-state tuition in California. So they came here instead. Perhaps public universities in Utah and California are playing the same game, trying to attract out-of-state residents who will pay more tuition at the expense of admitting qualified in-state applicants. When two states play this game, the state with a lower cost of living wins. As California seeks to attract overseas and out-of-state talent, it should seriously consider where outside its borders it is driving its own in-state talent to go.",public university,AGAINST,1
"I like this initiative. Wal-Mart is doing a good thing for its customers. Wal-Mart definitely deserves praise for using its power for good for once. Wal-Mart has caused many small businesses to go under and has had serious labor issues over the years. It really owes its customers and employees for their loyalty (even if, in some situations, Wal-Mart is the only game in town) and this healthy food initiative is a wonderful way to start.",healthier,FAVOR,1
"YES. The other way some of them cherry pick is through their faux lotteries. At Success, the first round of the lottery uses a computer algorithm to choose kids; when those families decline or are found ineligible, Success doesn't have to blindly choose anymore - they can go into the 'wait list' pool and select the kids they think will have the fewest academic, behavioral, language, or special needs issues.",lottery winner selection,AGAINST,1
"The better question is, though, how many people who have used marijuana DO NOT use other illegal drugs. I think the answer would surprise you. Correlation is not causation - the sooner you learn that, the sooner you can get to the real root of our opiate addition problem.",marijuana,FAVOR,1
"Flash backwards to 1972, Colorado, where the newly enfranchised 18 year olds put into office a whole rash of liberal democrats. I was one of those young voters. I have no doubt that young people today can similarly influence elections. And I sincerely hope they will.",matter election,FAVOR,1
"All very true but I feel a lot of people have lost the ability to be an ""informed skeptic"" i.e. know when something doesn't seem plausible and be willing to do the work to investigate further. Just look at the controversy over established science for example. It seems to me that lots of folks search out information that conforms to their own viewpoint and accept that, regardless of evidence to the contrary. ""I saw it on the internet, it must be right!""",people,AGAINST,1
"I wonder how having one or two Teach for America teachers at a school can make a difference. A few children, lucky to be in those classes, may benefit but how does it benefit the school as a whole? And what does it do for the morale of the regular teaching staff, many of whom may be wonderful, dedicated teachers to have these neophytes who come with a label of special, gifted drop into their schools as though manna from heaven? Finally, do these special, gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least, if not more, to do with the condition of their schools and their academic achievement than does the ability of the teacher? Can they magically help the parent who doesn't have the education to help or encourage the child? Can they promise these kids that if they work hard and do well, they will have a better life?",status teacher,AGAINST,1
"The banks are in the business of using the US economy to make money. Usually this is good for both the banks and the rest of the economy, but sometimes the banks make it much more beneficial for them than for the economy. The best managed companies on the planet will be the ones that can extort the most from everybody else by getting rid of fair competition on a level playing field. Like a well-managed army, they are aggressive as well as efficient. The banks need to be managed so that they do not drown in their own bubbles, but also so they do not take over the rest of the economy.",big bank,AGAINST,1
"I agree with comment #115. Raising children in a strict environment with limited play, relax time reduces their creativity and happiness in life. Take the Chinese vs American businesses an as example. Chinese are very hard working and good at making replicas for less, but Americans generally less hard working are better at creativity and invention, like technology. Our less structured culture supports innovation and successes like facebook, apple etc.",extreme parenting,AGAINST,1
OF COURSE ! Speaking a foreign language is absolutely wonderful ! I feel it is because of the so-called powerful place the USA occupies in the world that it has no interest in the ability to speak another language than its own. The USA would benefit from a little more humility and real understanding of the many other cultures that exist on our Earth. It enables one to assimilate a culture in a way unequaled to any other.,foreign language class,FAVOR,1
"Mr. Stupak, this has nothing to do with ""respect"" and everything to do with ""managing the bottom line"". It's a fact that no-shows are more common in NYC than in SF. So charge them - OT makes this possible by requesting a charge card to hold a reservation! You are trying to justify a tactic of bribery. Call it what it is, rather than hiding behind a puffery of ""poor us, struggling with uncooperative customers."" Oh wait, they're not customers to you, are they? They're BUYERS.",way sell free,FAVOR,1
"If some rich curmudgeon buys all the land around a public school can he then deny access to the kids? Access should be guaranteed: if the landowner won't sell a piece of his property leading to the public area, it should be confiscated; case closed.",beachfront home,AGAINST,1
"Or farming of this type would just move to mechanization to keep costs down. In the late 70s/early 80s, the United Farm Workers did a lot to prevent academic research into mechanization of California farming, and wanted the state to impose taxes on mechanized fruit and vegetable harvesters. I think their efforts even included a terrorist attack on the Ag-engineering department at UC-Davis (although maybe that's just something I just heard?). But it's 2011, and I doubt they are strong enough to stop mechanization these days.",farm,AGAINST,1
"This mess began more than 30 years ago when the government did away with the usury laws. Since then it's been open season on bank customers. With the rates imposed and fees added you'd think you were dealing with loan sharks. So far the only difference is that nobody drops by your house to break your knee caps if you overdraw your checking account, miss a payment, or move your money to a credit union. We need to reimpose caps above which no money lender or financial institution can impose fees, interest, or any other charges or fines.",fee,AGAINST,1
"The choice of whether to breastfeed is of little consequence to others. Not to vaccinate one's children places others at risk, particularly other children and health-compromised adults. The analogy used by the author doesn't hold up. I'm also willing to bet that in Norway the overwhelming majority of young children are inoculated.",vaccination,AGAINST,1
"I am obtaining dual citizenship for my 9 year old son. I don't want him conscripted to fight in a rich mans war against his own will. A right all people should have, unless conscription is uniformly applied to all citizens NO privileged outs.",dual citizenship,FAVOR,1
